Markx,StationLines,subway,BannerFileName,TrainsbyStopID,Boro,StopID
,81 St-Museum of Natural History - BC,81 St-Museum of Natural History,Undefined,BC,Manhattan,A21N
,82 St-Jackson Hts - 7,82 St-Jackson Hts,Undefined,7,Queens,709N
,85 St-Forest Pkwy - J,85 St-Forest Pkwy,Undefined,J,Queens,J16N
,86 St - N,86 St,Undefined,N,Brooklyn,N10N
,86 St-2nd - Q,86 St-2nd,Undefined,Q,Manhattan,Q04N
,86 St-Broadway - 1,86 St-Broadway,Undefined,1,Manhattan,121N
,86 St-CPW - BC,86 St-CPW,Undefined,BC,Manhattan,A20N
,86 St-Lex - 456,86 St-Lex,Undefined,456,Manhattan,626N
,86th-4th Av - R,86th-4th Av,Undefined,R,Brooklyn,R44N
,88 St - A,88 St,Undefined,A,Queens,A60N
,9 Av - D,9 Av,Undefined,D,Brooklyn,B12N
,90 St-Elmhurst Av - 7,90 St-Elmhurst Av,Undefined,7,Queens,708N
,96 St - 123,96 St,Undefined,123,Manhattan,120N
,96 St - 6,96 St,Undefined,6,Manhattan,625N
,96 St - BC,96 St,Undefined,BC,Manhattan,A19N
,96 St - Q,96 St,Undefined,Q,Manhattan,Q05N
,Alabama Av - JZ,Alabama Av,Undefined,JZ,Brooklyn,J24N
,Allerton Av - 25,Allerton Av,Undefined,25,The Bronx,210N
,Aqueduct Racetrack - A,Aqueduct Racetrack,Undefined,A,Queens,H01N
,Aqueduct-N Conduit Av - A,Aqueduct-N Conduit Av,Undefined,A,Queens,H02N
,Astor Pl - 6,Astor Pl,Undefined,6,Manhattan,636N
,Astoria Blvd - NW,Astoria Blvd,Undefined,NW,Queens,R03N
,Astoria-Ditmars Blvd - NW,Astoria-Ditmars Blvd,Undefined,NW,Queens,R01N
,Atlantic Av - L,Atlantic Av,Undefined,L,Brooklyn,L24N
,Atlantic Av-Barclays Ctr - 2345,Atlantic Av-Barclays Ctr,Undefined,2345,Brooklyn,235N
,Atlantic Av-Barclays Ctr - BQ,Atlantic Av-Barclays Ctr,Undefined,BQ,Brooklyn,D24N
,Atlantic Av-Barclays Ctr - DNR,Atlantic Av-Barclays Ctr,Undefined,DNR,Brooklyn,R31N
,Avenue H - Q,Avenue H,Undefined,Q,Brooklyn,D32N
,Avenue I - F,Avenue I,Undefined,F,Brooklyn,F31N
,Avenue J - Q,Avenue J,Undefined,Q,Brooklyn,D33N
,Avenue M - Q,Avenue M,Undefined,Q,Brooklyn,D34N
,Avenue N - F,Avenue N,Undefined,F,Brooklyn,F33N
,Avenue P - F,Avenue P,Undefined,F,Brooklyn,F34N
,Avenue U - F,Avenue U,Undefined,F,Brooklyn,F36N
,Avenue U - N,Avenue U,Undefined,N,Brooklyn,N09N
,Avenue U - Q,Avenue U,Undefined,Q,Brooklyn,D37N
,Avenue X - F,Avenue X,Undefined,F,Brooklyn,F38N
,Bay 50 St - D,Bay 50 St,Undefined,D,Brooklyn,B23N
,Bay Pkwy - F,Bay Pkwy,Undefined,F,Brooklyn,F32N
,Bay Pkwy - N,Bay Pkwy,Undefined,N,Brooklyn,N07N
